;;;;;;1;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;3EADCD1D;1051577629;;afe569ad;AFE569AC;0000D3DC;A704D665;0DAAC21F;3EADCD1D;AF5A20DA;AFE569AC;961B261E;525F6513;7E70E679;BB6C44FD;D0109FFF;5A195BAF;7D60AA1D;B904DAAC;5EB4961D;0202642B;0546CC78;6083473A;C1F2B2DF;0;AFE5;1010111111100101;;69AC;0110100110101100;;;;;;;5a195bed;;;66;;da4575ef;;;3661985263;66;;5a195984;;;555;;da45779d;3661985693;555
3eaea744;1051633476;223833;;;0abd31de;0ABD31DF;41C6967E;2781C46B;F94B95FB;D9E29CFB;BF540FF6;0ABD31DF;237CAF1C;7DE1C487;E201D2BF;E231E3DE;E9569372;500F2847;2C677566;4287B359;4DAAE488;F73CEF59;EEEA5656;9EE3CA7B;31D2AD85;1;0ABD;0000101010111101;23256;31DF;0011000111011111;51251;;;;;;500f2888;;;207;;da457562;;;3661985122;207;;500f2acb;;;652;;da45773a;3661985594;652
3eadc2a4;1051574948;4025;;;6595fa12;6595FA13;838C5921;A7FFB272;E4ED69D7;75186CD9;CF4EFF13;6595FA13;B0DC381B;A96323FC;4593BF06;08F682BF;029C86E5;4606F4E0;DB6D40B0;CC0A8C05;3C9F32F2;EC757A87;D88EE034;DD434DBC;A1B3A82B;2;6595;0110010110010101;23256;FA13;1111101000010011;51252;1;0;;;;4606f5c2;;;290;;da45748f;;;3661984911;290;;4606f4e0;;;;;da4575b6;3661985206;0
3eadd7db;1051580379;6854;;;c06dc247;C06DC246;C5531BC3;287DA078;D08E3DB4;104D3CB7;DF48EE2F;C06DC246;3E3DC119;D4E58370;A924AB4C;2FBB21A0;1BE37A58;3BFCC178;8A740BFA;558C64B1;2B95815C;E1AF05B5;C2326A12;1BA3D0FE;1193A2D1;3;C06D;1100000001101101;23256;C246;1100001001000110;51251;0;0;;;;3bfcc178;;;0;;da4575ad;;;3661985197;;;3bfcc178;;;;;;;
3eadc2a4;1051574948;4025;;;1b458a78;1B458A79;0719DE66;A8FB8E7F;BC2F1190;AB820C95;EF42DD4B;1B458A79;CB9D4A17;0067E2E5;0CB59793;5680C081;35296DCA;31F38E10;397AD743;DF0F3D5D;1A8ACFC7;D6E890E3;ABD6F3F0;5A03543F;81739D76;4;1B45;0001101101000101;23256;8A79;1000101001111001;51251;0;0;;;;31f38e10;;;0;;;;;;;;31f38e10;;;;;;;
3eadc2a4;1051574948;4025;;;761d52ad;761D52AC;48DFA109;29787C85;A7D1E56C;46B8DC73;FF3CCC68;761D52AC;58FDD315;2BE94259;704683D9;7D445F62;4E6F613D;27EA5AA9;E880A28D;68921609;097F1E31;CC221C11;957A7DCE;9864D780;F153981C;5;761D;0111011000011101;23256;52AC;0101001010101100;51251;0;0;;;;27ea5aa9;;;0;;;;;;;;27ea5aa9;;;;;;;
3eadda84;1051581060;6041;;;d0f51ade;D0F51ADF;8AA663AB;A9F66A8C;9372B949;E1EDAC51;0F37BB84;D0F51ADF;E65E5C14;576BA1CE;D3D87020;A409FE43;67B654B0;1DE02741;97876DD6;F215EEB5;F8756C9C;C15BA73F;7F1E07AC;D6C45AC2;613392C2;6;D0F5;1101000011110101;23256;1ADF;0001101011011111;51251;0;0;;;;1de02741;;;0;;;;;;;;1de02741;;;;;;;
3eadd330;1051579184;7725;;;2bcde312;2BCDE313;CC6C264E;2A745892;7F138D25;7D227C2E;1F31AAA1;2BCDE313;73BEE512;82ED0142;37695C66;CACE9D24;80FC4823;13D7F3DA;468D3920;7B97C761;E76ABB06;B695326E;68C2918A;1524DE03;D1138D68;7;2BCD;0010101111001101;23256;E313;1110001100010011;51252;1;0;;;;13d7f3da;;;0;;;;;;;;13d7f3da;;;;;;;
3eadd4d5;1051579605;6600;;;86a5ab47;86A5AB46;0E32E8F0;AAF24699;6AB46101;18574C0C;2F2B99BD;86A5AB46;011F6E10;AE6F60B7;9AFA48AD;F1933C05;9A423B95;09CDC072;F5940469;051AA00D;D65F0971;ABCEBD9C;52661B68;53846144;40F4880D;8;86A5;1000011010100101;23256;AB46;1010101101000110;51251;0;0;;;;9cdc072;;;0;;;;;;;;9cdc072;;;;;;;
3eadda84;1051581060;6041;;;e17d7378;E17D7379;4FF8AB93;2B6F349F;565634DE;B38D1BEA;3F2588D9;E17D7379;8E7FF70E;D9F1C02B;FE8B34F3;1858DAE5;B3892F08;FFC48D0A;A49ACFB3;8E9D78B9;C55557DB;A10848CA;3C0AA546;91E5E486;B0D482B3;9;E17D;1110000101111101;23256;7379;0111001101111001;51251;0;0;;;;ffc48d0a;;;0;;;;;;;;ffc48d0a;;;;;;;
